id;name;description;internet;calls;sms;price
1;Intranet;Cotton Handcrafted Generic;tan deploy New York;algorithm Quality Cambridgeshire;interactive;99468
2;optical Nauru Beauty;capability sexy;object-oriented protocol Generic;hacking;infomediaries input;22653
3;invoice client-driven Cotton;THX;hack;Personal Loan Account Chair protocol;transmitting deploy;1244
4;Planner navigate database;Gabon Auto Loan Account Wooden;Pizza matrix;interfaces Lead empower;incubate withdrawal index;48069
5;Optional Lead monitor;zero tolerance;initiatives;Data AI hack;Books;38927
6;Upgradable;Haiti haptic;plum digital alliance;Response;navigating Corporate Pants;28668
7;Architect Bacon;Handmade back up;Bedfordshire Front-line;Home Loan Account Alabama;dot-com;66001
8;capacitor;Generic;online fault-tolerant Savings Account;Berkshire Configuration;Open-architected;23381
9;Monitored Savings Account;Incredible panel;lime;Borders;strategize framework;89554
10;United Kingdom;Rubber Gambia;Highway moderator South Dakota;plug-and-play transmitting action-items;Home;42483
